accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCF_000783815.2,1,4679420,2497089,52,15.51,3,3,3,1,4679420,3,4786576,4786576,,,FDAARGOS_70,Salmonella enterica,28901
GCF_001558355.2,1,4857490,2586573,52,353.386,2,2,2,1,4857490,2,4951423,4951423,,,FDAARGOS_94,Salmonella enterica,28901
GCF_001647755.1,1,4791723,2597703,52,200,2,2,2,1,4791723,2,5001829,5001829,,,C629,Salmonella enterica,28901
GCF_001652385.2,1,4855022,2569360,52,357,2,2,2,1,4855022,2,4930422,4930422,,,CFSAN033950,Salmonella enterica,28901
GCF_001705055.1,1,4680751,2503111,52,483.38,2,2,2,1,4680751,2,4797690,4797690,,,FORC_019,Salmonella enterica,28901
GCF_001831555.2,1,5084052,2616726,51.5,196,1,1,1,1,5084052,1,5084052,5084052,,,CFSAN044865,Salmonella enterica,28901
GCF_001831715.2,1,4881088,2606077,52,166,2,2,2,1,4881088,2,5004869,5004869,,,CFSAN044875,Salmonella enterica,28901
GCF_001831915.2,1,4879725,2542778,52,320,1,1,1,1,4879725,1,4879725,4879725,,,CFSAN044885,Salmonella enterica,28901
GCF_001831985.2,1,4866315,2553366,52,188,2,2,2,1,4866315,2,4892473,4892473,,,CFSAN044888,Salmonella enterica,28901
GCF_001833305.2,1,4754349,2482854,52,205,1,1,1,1,4754349,1,4754349,4754349,,,CFSAN044925,Salmonella enterica,28901
GCF_001834965.2,1,4872383,2613097,52,170,2,2,2,1,4872383,2,5008883,5008883,,,CFSAN044945,Salmonella enterica,28901
GCF_002079245.1,1,4943477,2626636,52,119,2,2,2,1,4943477,2,5037523,5037523,,,FORC_030,Salmonella enterica,28901
GCF_002119485.1,1,4938076,2563662,52,498.01,1,1,1,1,4938076,1,4938076,4938076,,,FORC_038,Salmonella enterica,28901
GCF_002313085.1,1,4679637,2489488,52,134.36,2,2,2,1,4679637,2,4776636,4776636,,,FORC_051,Salmonella enterica,28901
GCF_002313105.1,1,4686230,2475521,52,224.62,2,2,2,1,4686230,2,4745601,4745601,,,FORC_056,Salmonella enterica,28901
GCF_002507715.2,1,4806207,2505727,52,277,1,1,1,1,4806207,1,4806207,4806207,,,CFSAN064276,Salmonella enterica,28901
GCF_002507745.2,1,4660570,2438286,52.5,214,1,1,1,1,4660570,1,4660570,4660570,,,CFSAN060808,Salmonella enterica,28901
GCF_002507865.2,1,4484627,2348091,52.5,228,1,1,1,1,4484627,1,4484627,4484627,,,CFSAN060809,Salmonella enterica,28901
GCF_002507875.2,1,4753965,2482172,52,338,1,1,1,1,4753965,1,4753965,4753965,,,CFSAN060807,Salmonella enterica,28901
GCF_002507915.2,1,4800918,2557016,52,239,2,2,2,1,4800918,2,4902428,4902428,,,CFSAN060804,Salmonella enterica,28901
GCF_002900325.1,1,4742945,2477924,52,239,1,1,1,1,4742945,1,4742945,4742945,,,MFDS1004024,Salmonella enterica,28901
GCF_002946675.1,1,4679649,2489487,52,161.32,2,2,2,1,4679649,2,4776643,4776643,,,MFDS1004839,Salmonella enterica,28901
GCF_003030105.1,1,4941290,2666409,52,314,3,3,3,1,4941290,3,5123279,5123279,,,CFSAN064034,Salmonella enterica,28901
GCF_003030125.1,1,4636770,2467487,52,425,4,4,4,1,4636770,4,4726557,4726557,,,CFSAN064033,Salmonella enterica,28901
GCF_003324915.1,1,4772343,2640151,52,95,4,4,4,1,4772343,4,5093270,5093270,,,SA20030575,Salmonella enterica,28901
GCF_003324935.1,1,4763586,2488898,52,57,1,1,1,1,4763586,1,4763586,4763586,,,SA20052327,Salmonella enterica,28901
GCF_003324955.1,1,4844554,2564286,52,50,2,2,2,1,4844554,2,4919131,4919131,,,SA19992307,Salmonella enterica,28901
GCF_003324975.1,1,4805225,2550852,52,39,2,2,2,1,4805225,2,4897849,4897849,,,SA20044414,Salmonella enterica,28901
GCF_003324995.1,1,4603878,2455425,52.5,85,2,2,2,1,4603878,2,4691197,4691197,,,SA20043041,Salmonella enterica,28901
GCF_003325015.1,1,4522338,2364858,52.5,73,1,1,1,1,4522338,1,4522338,4522338,,,SA20031245,Salmonella enterica,28901
GCF_003325035.1,1,5195044,2667096,51.5,50,1,1,1,1,5195044,1,5195044,5195044,,,SA20100201,Salmonella enterica,28901
GCF_003325055.1,1,4854398,2776469,52,45,5,5,5,1,4854398,5,5358955,5358955,,,SA20094620,Salmonella enterica,28901
GCF_003325075.1,1,4813547,2570030,52,41,4,4,4,1,4813547,4,4931794,4931794,,,SA20104250,Salmonella enterica,28901
GCF_003325095.1,1,4869528,2688270,52,41,6,6,6,1,4869528,6,5152021,5152021,,,SA20051401,Salmonella enterica,28901
GCF_003325115.1,1,4651373,2422102,51.5,59,2,2,2,1,4651373,2,4690296,4690296,,,SA20080453,Salmonella enterica,28901
GCF_003325135.1,1,5062813,2732878,52,40,4,4,4,1,5062813,4,5262637,5262637,,,SA20083530,Salmonella enterica,28901
GCF_003325155.1,1,4719399,2471515,52.5,18,3,3,3,1,4719399,3,4725999,4725999,,,SA20051528,Salmonella enterica,28901
GCF_003325195.1,1,4716530,2511168,52,48,2,2,2,1,4716530,2,4813764,4813764,,,SA20075157,Salmonella enterica,28901
GCF_003325215.1,1,5431908,2923816,51.5,40,4,4,4,1,5431908,4,5700547,5700547,,,SA20021456,Salmonella enterica,28901
GCF_003325235.1,1,4688830,2564684,52,45,2,2,2,1,4688830,2,4936076,4936076,,,SA20083039,Salmonella enterica,28901
GCF_003325255.1,1,4739617,2489223,52.5,33,6,6,6,1,4739617,6,4758278,4758278,,,SA20041605,Salmonella enterica,28901
GCF_003325275.1,1,4729786,2517137,52,72,2,2,2,1,4729786,2,4824596,4824596,,,SA20101045,Salmonella enterica,28901
GCF_003325315.1,1,4640729,2399902,51.5,50,1,1,1,1,4640729,1,4640729,4640729,,,SA20055162,Salmonella enterica,28901
GCF_003515965.1,1,4682412,2499118,52,193,3,3,3,1,4682412,3,4795266,4795266,,,FORC_074,Salmonella enterica,28901
GCF_003872215.1,1,5033792,2700903,52,151,2,2,2,1,5033792,2,5183854,5183854,,,CFSAN029939,Salmonella enterica,28901
GCF_003872395.1,1,4680419,2445087,52,166,1,1,1,1,4680419,1,4680419,4680419,,,CFSAN029945,Salmonella enterica,28901
GCF_003872625.1,1,4991210,2602138,52,246,1,1,1,1,4991210,1,4991210,4991210,,,CFSAN029895,Salmonella enterica,28901
GCF_004135835.1,1,4686022,2475363,52,195,2,2,2,1,4686022,2,4745355,4745355,,,FORC_078,Salmonella enterica,28901
GCF_004223785.1,1,4984008,2682915,52,215,3,3,3,1,4984008,3,5159176,5159176,,,CFSAN029871,Salmonella enterica,28901
GCF_004354225.1,1,4611179,2407455,52,165,1,1,1,1,4611179,1,4611179,4611179,,,FDA925033-2-17,Salmonella enterica,28901
GCF_004354285.1,1,4820913,2514270,52,40,1,1,1,1,4820913,1,4820913,4820913,,,FSW0104,Salmonella enterica,28901
GCF_005411755.1,1,5070245,2641919,52,402,1,1,1,1,5070245,1,5070245,5070245,,,CFSAN008785,Salmonella enterica,28901
GCF_005532075.1,1,4709267,2457038,52,164,1,1,1,1,4709267,1,4709267,4709267,,,CFSAN030601,Salmonella enterica,28901
GCF_005532895.1,1,4988850,2662756,52,287,2,2,2,1,4988850,2,5113066,5113066,,,CFSAN029879,Salmonella enterica,28901
GCF_005532935.1,1,5041511,2713051,52,284,3,3,3,1,5041511,3,5202476,5202476,,,CFSAN029872,Salmonella enterica,28901
GCF_005534535.1,1,4943564,2574963,52,232,1,1,1,1,4943564,1,4943564,4943564,,,CFSAN008812,Salmonella enterica,28901
GCF_005576595.1,1,4615193,2413861,52.5,103,1,1,1,1,4615193,1,4615193,4615193,,,CFSAN005645,Salmonella enterica,28901
GCF_005606435.1,1,5051711,2719289,52,172,3,3,3,1,5051711,3,5215467,5215467,,,CFSAN029843,Salmonella enterica,28901
GCF_005606535.1,1,5061743,2637733,52,231,1,1,1,1,5061743,1,5061743,5061743,,,CFSAN029894,Salmonella enterica,28901
GCF_005608035.1,1,4747185,2479009,52,130,1,1,1,1,4747185,1,4747185,4747185,,,CFSAN057220,Salmonella enterica,28901
GCF_005676255.1,1,4516456,2362712,52.5,474,1,1,1,1,4516456,1,4516456,4516456,,,CFSAN024144,Salmonella enterica,28901
GCF_005935865.1,1,4796958,2534911,52,304,2,2,2,1,4796958,2,4871995,4871995,,,CFSAN024219,Salmonella enterica,28901
GCF_005936085.1,1,4664770,2432944,52,316,1,1,1,1,4664770,1,4664770,4664770,,,CFSAN024152,Salmonella enterica,28901
GCF_005946705.1,1,4884048,2552853,52.5,275,1,1,1,1,4884048,1,4884048,4884048,,,CFSAN029868,Salmonella enterica,28901
GCF_005978645.1,1,4593157,2398155,52,276,1,1,1,1,4593157,1,4593157,4593157,,,CFSAN055400,Salmonella enterica,28901
GCF_005991765.1,1,4997605,2604138,52,254,1,1,1,1,4997605,1,4997605,4997605,,,CFSAN008813,Salmonella enterica,28901
GCF_005996305.1,1,4820861,2518478,52,305,2,2,2,1,4820861,2,4824470,4824470,,,CFSAN057258,Salmonella enterica,28901
GCF_005996325.1,1,4681424,2472526,51.5,256,2,2,2,1,4681424,2,4780872,4780872,,,CFSAN057252,Salmonella enterica,28901
GCF_005996465.1,1,4664544,2462883,51.5,191,2,2,2,1,4664544,2,4765133,4765133,,,CFSAN057226,Salmonella enterica,28901
GCF_005996525.1,1,4773876,2524146,52,280,2,2,2,1,4773876,2,4848895,4848895,,,CFSAN057241,Salmonella enterica,28901
GCF_006016765.1,1,4786558,2499476,52,440,1,1,1,1,4786558,1,4786558,4786558,,,CFSAN029855,Salmonella enterica,28901
GCF_006019175.1,1,4862554,2593844,52,148,2,2,2,1,4862554,2,4969982,4969982,,,CFSAN029958,Salmonella enterica,28901
GCF_006026255.1,1,4583372,2394878,52.5,473,1,1,1,1,4583372,1,4583372,4583372,,,CFSAN038591,Salmonella enterica,28901
GCF_006027055.1,1,4583372,2394879,52.5,83,1,1,1,1,4583372,1,4583372,4583372,,,CFSAN038580,Salmonella enterica,28901
GCF_006051055.1,1,4925620,2555755,52,30,1,1,1,1,4925620,1,4925620,4925620,,,08-0466,Salmonella enterica,28901
GCF_006051135.1,1,4612001,2394233,52,30,1,1,1,1,4612001,1,4612001,4612001,,,68-4603,Salmonella enterica,28901
GCF_006090915.1,1,4845604,2531646,52,213,1,1,1,1,4845604,1,4845604,4845604,,,CFSAN029943,Salmonella enterica,28901
GCF_006098575.1,1,4583367,2425779,52,261,2,2,2,1,4583367,2,4651096,4651096,,,CFSAN048049,Salmonella enterica,28901
GCF_006112595.1,1,4521469,2376652,51.5,30,2,2,2,1,4521469,2,4629168,4629168,,,2014K-0203,Salmonella enterica,28901
GCF_006199285.1,1,4721400,2462540,52,196,1,1,1,1,4721400,1,4721400,4721400,,,CFSAN073554,Salmonella enterica,28901
GCF_006199305.1,1,4583521,2394966,52.5,392,1,1,1,1,4583521,1,4583521,4583521,,,CFSAN073546,Salmonella enterica,28901
GCF_006287295.1,1,4764049,2548905,52,100,3,3,3,1,4764049,3,4880155,4880155,,,PNUSAS040124,Salmonella enterica,28901
GCF_006315305.1,1,4520275,2361774,52,146,1,1,1,1,4520275,1,4520275,4520275,,,CFSAN073553,Salmonella enterica,28901
GCF_006344865.1,1,4812014,2505757,52,287,1,1,1,1,4812014,1,4812014,4812014,,,OSF056662,Salmonella enterica,28901
GCF_006364755.1,1,4482093,2305633,51.5,622.44,1,1,1,1,4482093,1,4482093,4482093,,,FDAARGOS_765,Salmonella enterica,28901
GCF_006365335.1,1,4857490,2587499,52,623.76,3,3,3,1,4857490,3,4954783,4954783,,,FDAARGOS_768,Salmonella enterica,28901
GCF_006461325.2,1,4875539,2650557,52,100,2,2,2,1,4875539,2,5093312,5093312,,,GSJ/2016-Sal.-018,Salmonella enterica,28901
GCF_006461415.2,1,4744578,2562497,52.5,100,2,2,2,1,4744578,2,4897518,4897518,,,GSJ/2017-Sal.-009,Salmonella enterica,28901
GCF_006760965.1,1,5636782,2886386,51,30,2,2,2,1,5636782,2,5648353,5648353,,,72-4606,Salmonella enterica,28901
GCF_006846945.1,1,4611122,2407112,52,363,1,1,1,1,4611122,1,4611122,4611122,,,CFSAN024184,Salmonella enterica,28901
GCF_006849305.1,1,4805331,2555980,52,803,2,2,2,1,4805331,2,4907209,4907209,,,CFSAN024230,Salmonella enterica,28901
GCF_006858285.1,1,4612973,2408757,52,416,1,1,1,1,4612973,1,4612973,4612973,,,FDA00008277,Salmonella enterica,28901
GCF_006868345.1,1,4595940,2458475,52,247,3,3,3,1,4595940,3,4723925,4723925,,,CFSAN029856,Salmonella enterica,28901
GCF_006868405.1,1,4821427,2599950,52,421,3,3,3,1,4821427,3,4983948,4983948,,,CFSAN029865,Salmonella enterica,28901
GCF_006868905.1,1,4678982,2444456,52,252,1,1,1,1,4678982,1,4678982,4678982,,,CFSAN029878,Salmonella enterica,28901
GCF_006869965.1,1,4914734,2624999,52,338,2,2,2,1,4914734,2,5039280,5039280,,,CFSAN029891,Salmonella enterica,28901
GCF_006870005.1,1,4911611,2566491,52.5,199,1,1,1,1,4911611,1,4911611,4911611,,,CFSAN029882,Salmonella enterica,28901
GCF_006873825.1,1,4900955,2559108,52,169,1,1,1,1,4900955,1,4900955,4900955,,,CFSAN029927,Salmonella enterica,28901
GCF_006948385.1,1,4978028,2654183,52,384,2,2,2,1,4978028,2,5102196,5102196,,,CFSAN008810,Salmonella enterica,28901
GCF_006949085.1,1,5028873,2683677,52,421,2,2,2,1,5028873,2,5153026,5153026,,,CFSAN008789,Salmonella enterica,28901
GCF_006949785.1,1,4953816,2582140,52,168,1,1,1,1,4953816,1,4953816,4953816,,,CFSAN008783,Salmonella enterica,28901
GCF_006967565.1,1,5030625,2696927,52,30,3,3,3,1,5030625,3,5183043,5183043,,,2010K-2057,Salmonella enterica,28901
GCF_006969245.1,1,5052222,2625449,52,100,1,1,1,1,5052222,1,5052222,5052222,,,MAC15,Salmonella enterica,28901
GCF_007019045.1,1,4645438,2454111,52,30,2,2,2,1,4645438,2,4731255,4731255,,,87-0091,Salmonella enterica,28901
GCF_007040365.1,1,4851336,2528654,52,332,1,1,1,1,4851336,1,4851336,4851336,,,CFSAN057232,Salmonella enterica,28901
GCF_007040405.1,1,4735681,2473103,52,287,1,1,1,1,4735681,1,4735681,4735681,,,CFSAN057240,Salmonella enterica,28901
GCF_008386295.1,1,4835467,2552212,52,4.83547e+06,2,2,2,1,4835467,2,4890828,4890828,,,QH,Salmonella enterica,28901
GCF_008728495.1,1,4757321,2614283,52,35,2,2,2,1,4757321,2,5048151,5048151,,,CFSAN096147,Salmonella enterica,28901
GCF_008931225.1,1,4923339,2701446,52,210,2,2,2,1,4923339,2,5210346,5210346,,,S61394,Salmonella enterica,28901
GCF_008931245.1,1,4979135,2711276,52,210,2,2,2,1,4979135,2,5226840,5226840,,,S44712,Salmonella enterica,28901
GCF_009729895.1,1,4611029,2411558,52.5,858.25,1,1,1,1,4611029,1,4611029,4611029,,,FDAARGOS_710,Salmonella enterica,28901
GCF_009729915.1,1,5136727,2672202,52,837.93,1,1,1,1,5136727,1,5136727,5136727,,,FDAARGOS_708,Salmonella enterica,28901
GCF_009729935.1,1,4556079,2383493,52.5,994.6,1,1,1,1,4556079,1,4556079,4556079,,,FDAARGOS_707,Salmonella enterica,28901
GCF_009729955.1,1,4575198,2412393,52,3163.83,2,2,2,1,4575198,2,4633945,4633945,,,FDAARGOS_688,Salmonella enterica,28901
GCF_009729975.1,1,4884738,2645267,52,1066.1,3,3,3,1,4884738,3,5066398,5066398,,,FDAARGOS_687,Salmonella enterica,28901
GCF_009730015.1,1,4668186,2434409,52,582.23,2,2,2,1,4668186,2,4670417,4670417,,,FDAARGOS_712,Salmonella enterica,28901
GCF_009930575.1,1,4981153,2694892,52,100,2,2,2,1,4981153,2,5163718,5163718,,,16E080,Salmonella enterica,28901
GCF_009930675.1,1,5006850,2684806,52,100,2,2,2,1,5006850,2,5145105,5145105,,,15E434,Salmonella enterica,28901
GCF_013161625.1,1,4888815,2541231,52,162.833,1,1,1,1,4888815,1,4888815,4888815,,,2011K-1440,Salmonella enterica,28901
GCF_013161805.1,1,4776313,2625053,51.5,167,4,4,4,1,4776313,4,5076106,5076106,,,2012K-0845,Salmonella enterica,28901
GCF_013162025.1,1,4672196,2487025,52,71.889,2,2,2,1,4672196,2,4796443,4796443,,,94-0093,Salmonella enterica,28901
GCF_013162485.1,1,4505366,2319938,51.5,140.685,1,1,1,1,4505366,1,4505366,4505366,,,2014K-1020,Salmonella enterica,28901
GCF_013348865.1,1,4794154,2645143,51.5,98.74,4,4,4,1,4794154,4,5126632,5126632,,,85-0120,Salmonella enterica,28901
GCF_013415925.1,1,4865373,2732653,52,33,5,5,5,1,4865373,5,5259233,5259233,,,SRC27,Salmonella enterica,28901
GCF_014334175.1,1,4654369,2542545,52,200,4,4,4,1,4654369,4,4870141,4870141,,,SLR1_7697,Salmonella enterica,28901
GCF_014334195.1,1,4686427,2592003,52,200,3,3,3,1,4686427,3,4982694,4982694,,,SLR1_7966,Salmonella enterica,28901
GCF_014334215.1,1,5017156,2747272,52,200,2,2,2,1,5017156,2,5295190,5295190,,,SLR1_8094,Salmonella enterica,28901
GCF_014334235.1,1,4715485,2604490,52,200,5,5,5,1,4715485,5,5021136,5021136,,,SLR1_7627,Salmonella enterica,28901
GCF_014334255.1,1,4679617,2487632,52,200,4,4,4,1,4679617,4,4774395,4774395,,,SLR1_8250,Salmonella enterica,28901
GCF_014521465.1,1,4725087,2471326,52.5,159,1,1,1,1,4725087,1,4725087,4725087,,,K_SA184,Salmonella enterica,28901
GCF_016026715.1,1,4857477,2586560,52,785,2,2,2,1,4857477,2,4951410,4951410,,,FDAARGOS_928,Salmonella enterica,28901
GCF_016028495.1,1,4874787,2594771,52,688,2,2,2,1,4874787,2,4968720,4968720,,,FDAARGOS_878,Salmonella enterica,28901
GCF_016071195.1,1,4688541,2568125,52,200,2,2,2,1,4688541,2,4944558,4944558,,,GX1006,Salmonella enterica,28901
GCF_016127435.1,1,4878004,2644192,52,730.77,4,4,4,1,4878004,4,5067311,5067311,,,FDAARGOS_1067,Salmonella enterica,28901
GCF_016127835.1,1,4677108,2470961,52,630.17,2,2,2,1,4677108,2,4736480,4736480,,,FDAARGOS_1066,Salmonella enterica,28901
GCF_016889645.1,1,4675929,2507663,52,1847.38,2,2,2,1,4675929,2,4804092,4804092,,,FDAARGOS_1271,Salmonella enterica,28901
GCF_018311215.1,1,4719085,2513621,52,100,3,3,3,1,4719085,3,4814364,4814364,,,PNUSAS200857,Salmonella enterica,28901
